0	902300000,
1	902500000,
2	902700000,
3	902900000,
4	903100000,
5	903300000,
6	903500000,
7	903700000,
8	903900000,
9	904100000,
10	904300000,
11	904500000,
12	904700000,
13	904900000,
14	905100000,
15	905300000,
16	905500000,
17	905700000,
18	905900000,
19	906100000,
20	906300000,
21	906500000,
22	906700000,
23	906900000,
24	907100000,
25	907300000,
26	907500000,
27	907700000,
28	907900000,
29	908100000,
30	908300000,
31	908500000,
32	908700000,
33	908900000,
34	909100000,
35	909300000,
36	909500000,
37	909700000,
38	909900000,
39	910100000,
40	910300000,
41	910500000,
42	910700000,
43	910900000,
44	911100000,
45	911300000,
46	911500000,
47	911700000,
48	911900000,
49	912100000,
50	912300000,
51	912500000,
52	912700000,
53	912900000,
54	913100000,
55	913300000,
56	913500000,
57	913700000,
58	913900000,
59	914100000,
60	914300000,
61	914500000,
62	914700000,
63	914900000,
